Address Space,IP Query,Prefix,Forest,EOP DC,IPAM DC,Region,Title,New Title,Prefix ID
Default,25.157.128.5,25.157.128.0/23,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_CAP - IPV4_CAP","EOP: GER01-LEJ - IPv4_CAP - IPV4_CAP",04b2d8f1-9b46-4638-8fca-0c855fbcff1a
Default,25.157.144.61,25.157.144.0/25,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_CAP - IPV4_A_MGMT","EOP: GER01-LEJ - IPv4_CAP - IPV4_A_MGMT",b26e765e-3885-41db-b0a6-e63903070164
Default,2a01:4180:c050:400::,2a01:4180:c050:400::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_CAP - IPV6_CAP","EOP: GER01-LEJ - IPv6_CAP - IPV6_CAP",3f1687bd-af53-4e45-923c-de85a25f23b5
Default,2a01:4180:c050:420::,2a01:4180:c050:420::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_CAP - IPV6_A_MGMT","EOP: GER01-LEJ - IPv6_CAP - IPV6_A_MGMT",214272d6-dcaf-4a25-b5a3-17fd4df01f40
Default,25.157.144.128,25.157.144.128/25,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_CAP - IPV4_B_MGMT","EOP: GER01-LEJ - IPv4_CAP - IPV4_B_MGMT",7047ba18-a984-4246-8957-f4e1a72c90b7
Default,2a01:4180:c050:440::,2a01:4180:c050:440::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_CAP - IPV6_B_MGMT","EOP: GER01-LEJ - IPv6_CAP - IPV6_B_MGMT",5a01ba72-6a9a-42b8-9dc4-61ea5ed01b62
Default,51.5.80.0,51.5.80.0/27,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_1701 - IPV4_PUBOB","EOP: GER01-LEJ - IPv4_1701 - IPV4_PUBOB",01071c13-e8ba-4766-b409-8e7d777922a5
Default,2a01:4180:4051:800::,2a01:4180:4051:800::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_1701 - IPV6_PUBOB","EOP: GER01-LEJ - IPv6_1701 - IPV6_PUBOB",8bbbb075-3156-475b-96b8-6a04e6a85fce
Default,51.5.72.0,51.5.72.0/24,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_1101/1102 - IPV4_HRI","EOP: GER01-LEJ - IPv4_1101/1102 - IPV4_HRI",86ad431b-242a-43c1-ad60-bccf93a42c07
Default,2a01:4180:4051:400::,2a01:4180:4051:400::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_1101/1102 - IPV6_HRI","EOP: GER01-LEJ - IPv6_1101/1102 - IPV6_HRI",498a7327-c709-4d79-b033-cbd54652de44
Default,25.157.192.0,25.157.192.0/23,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_CAP - IPV4_CAPILO","EOP: GER01-LEJ - IPv4_CAP - IPV4_CAPILO",3443cce3-ae2b-4bb4-bad9-d9a17e6596ee
Default,2a01:4180:c051:800::,2a01:4180:c051:800::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_ILO - IPV6_CAPILO","EOP: GER01-LEJ - IPv6_ILO - IPV6_CAPILO",452ff62f-3494-4c0c-bb7a-16057b0f509d
Default,2a01:4180:c051:820::,2a01:4180:c051:820::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_ILO - IPV6_A_MGMTILO","EOP: GER01-LEJ - IPv6_ILO - IPV6_A_MGMTILO",a9983542-00d3-404c-b5f3-d8845a0c05a6
Default,25.157.208.128,25.157.208.128/25,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_CAP - IPV4_B_MGMTILO","EOP: GER01-LEJ - IPv4_CAP - IPV4_B_MGMTILO",227f62b1-5d89-4ef6-8ad5-5f56ec6f60ae
